Expense ID,Expense Type,Expense Date,Cost / Expense ($),Contact ID,Contact Name,Customer Name,Department,Payment Method,Invoice Number,Approval Status
EXP-50001,Office Supplies,2025-08-31,19265,CUST-10263,Tiffany Stone,Lopez-Duran,Operations,PayPal,INV-90001,Rejected
EXP-50002,Software Subscription,2025-05-10,19650,CUST-10429,Joseph Wilson,"Howe, Drake and Robinson",Sales,PayPal,INV-90002,Rejected
EXP-50003,Software Subscription,2025-03-06,11600,CUST-10545,John Anderson,Rodriguez-Stewart,Finance,Credit Card,INV-90003,Approved
EXP-50004,Event Sponsorship,2025-04-18,13485,CUST-10918,Lori Johnson,Miller Inc,Operations,PayPal,INV-90004,Approved
EXP-50005,Event Sponsorship,2025-08-23,6678,CUST-10176,Amber Winters,Lee PLC,Marketing,Cheque,INV-90005,Approved
EXP-50006,Event Sponsorship,2025-07-08,5725,CUST-10923,Phillip Mitchell,"Jackson, Johns and Duarte",Finance,Bank Transfer,INV-90006,Approved
EXP-50007,Software Subscription,2025-04-20,15921,CUST-10560,Christina Harper,Dorsey-Edwards,Operations,Bank Transfer,INV-90007,Pending
EXP-50008,Event Sponsorship,2025-08-17,1743,CUST-10029,Jill Phillips,"Lynch, Lynch and Mitchell",IT,Direct Debit,INV-90008,Pending
EXP-50009,Software Subscription,2025-04-05,1410,CUST-10805,Charles Robinson,Vaughan PLC,Operations,PayPal,INV-90009,Approved
EXP-50010,Office Supplies,2025-01-11,8168,CUST-10494,Cole Roberts,Stanley Inc,Operations,Bank Transfer,INV-90010,Approved
EXP-50011,Marketing,2025-06-19,5515,CUST-10636,Ashley Bennett,"Holmes, Haley and Calhoun",IT,PayPal,INV-90011,Approved
EXP-50012,Event Sponsorship,2025-05-21,9719,CUST-10901,Eric Sanders,Castro LLC,Sales,Bank Transfer,INV-90012,Approved
EXP-50013,Office Supplies,2025-06-03,3827,CUST-10857,Casey Morris,Singleton-Joseph,Finance,PayPal,INV-90013,Pending
EXP-50014,Software Subscription,2025-03-12,4833,CUST-10756,Carla Thomas,Ibarra Ltd,IT,Cheque,INV-90014,Approved
EXP-50015,Software Subscription,2025-02-24,5565,CUST-10360,Ethan Nelson,"Reid, Hamilton and Evans",Marketing,Direct Debit,INV-90015,Approved
EXP-50016,Event Sponsorship,2025-03-25,2109,CUST-10031,John Parker,Mitchell-Parker,Marketing,Credit Card,INV-90016,Pending
EXP-50017,Marketing,2025-03-10,13600,CUST-10950,Ryan Ward,Salas-Wilkins,Sales,Credit Card,INV-90017,Approved
EXP-50018,Travel,2025-04-07,11007,CUST-10373,Roger Marshall,Reynolds-Woods,Marketing,PayPal,INV-90018,Approved
EXP-50019,Travel,2025-05-27,11168,CUST-10215,Taylor Clark,"Fox, Johns and Deleon",Finance,PayPal,INV-90019,Rejected
EXP-50020,Event Sponsorship,2025-06-20,8610,CUST-10728,Courtney Castillo,Booker-Herrera,Operations,PayPal,INV-90020,Pending
EXP-50021,Travel,2025-06-12,6203,CUST-10470,Philip Walker,"Baxter, Thomas and Cordova",IT,PayPal,INV-90021,Rejected
EXP-50022,Office Supplies,2025-01-15,12766,CUST-10324,Jose Leon,Tate-Lindsey,Operations,Cheque,INV-90022,Approved
EXP-50023,Travel,2025-03-12,4851,CUST-10097,Kristina Carter,"Pruitt, Johnson and Hoffman",Sales,Cheque,INV-90023,Approved
EXP-50024,Office Supplies,2025-04-17,6152,CUST-10305,Diane Baxter DDS,Adkins-Frazier,Sales,Direct Debit,INV-90024,Approved
EXP-50025,Software Subscription,2025-06-14,13909,CUST-10040,Robert Taylor,Davis-Lopez,Marketing,PayPal,INV-90025,Rejected
EXP-50026,Event Sponsorship,2025-07-16,13515,CUST-10533,Mia Lopez,Houston-Barnes,Operations,Direct Debit,INV-90026,Pending
EXP-50027,Office Supplies,2025-03-14,12336,CUST-10954,Roberto Marshall,Patton and Sons,Operations,Credit Card,INV-90027,Pending
EXP-50028,Travel,2025-04-06,1382,CUST-10962,Victoria Hall,Hernandez-Tucker,Marketing,Bank Transfer,INV-90028,Approved
EXP-50029,Event Sponsorship,2025-07-11,11399,CUST-10415,Robert Little,Aguilar-Crawford,Sales,Direct Debit,INV-90029,Rejected
EXP-50030,Event Sponsorship,2025-07-31,16229,CUST-10963,Stephen Turner,Moore-Evans,Marketing,Direct Debit,INV-90030,Approved
EXP-50031,Marketing,2025-03-22,19285,CUST-10278,Mrs. Lisa Kelly,Browning-Brooks,Marketing,Credit Card,INV-90031,Approved
EXP-50032,Office Supplies,2025-08-12,18505,CUST-10813,Tracy Cox,"Lewis, Johnson and Gilmore",Marketing,Cheque,INV-90032,Approved
EXP-50033,Office Supplies,2025-03-31,15909,CUST-10206,Kim Davis,Moore Group,Marketing,Direct Debit,INV-90033,Approved
EXP-50034,Software Subscription,2025-07-09,8620,CUST-10268,Christopher Marshall,"Mueller, Swanson and Rogers",Operations,Direct Debit,INV-90034,Approved
EXP-50035,Travel,2025-01-21,7748,CUST-10128,Julia Brown,Matthews-Harris,IT,Cheque,INV-90035,Rejected
EXP-50036,Software Subscription,2025-01-03,6847,CUST-10789,Frank Alexander,Wilson-Long,Finance,PayPal,INV-90036,Rejected
EXP-50037,Event Sponsorship,2025-06-10,3504,CUST-10534,Drew Schultz,Taylor Inc,IT,Credit Card,INV-90037,Pending
EXP-50038,Marketing,2025-08-02,13623,CUST-10633,Jessica Garcia,Hale LLC,Operations,Cheque,INV-90038,Pending
EXP-50039,Event Sponsorship,2025-07-24,15096,CUST-10820,Margaret Hardy,"Cohen, Williams and Mullins",Sales,Cheque,INV-90039,Rejected
EXP-50040,Travel,2025-07-26,19935,CUST-10460,Curtis Stuart,Trujillo-Walker,Marketing,Direct Debit,INV-90040,Approved
EXP-50041,Office Supplies,2025-06-23,3247,CUST-10946,Brian Burch,Ibarra Ltd,Finance,PayPal,INV-90041,Approved
EXP-50042,Travel,2025-07-17,18238,CUST-10817,Faith Harris,Cox LLC,Finance,Cheque,INV-90042,Approved
EXP-50043,Marketing,2025-08-12,8237,CUST-10771,Ashley Thompson,"Bowman, Davis and Cox",Operations,Bank Transfer,INV-90043,Pending
EXP-50044,Marketing,2025-03-21,392,CUST-10975,Melissa Williams,"Valdez, Pittman and Gordon",IT,Bank Transfer,INV-90044,Approved
EXP-50045,Event Sponsorship,2025-02-05,579,CUST-10304,Megan Bush,Fleming-Lee,Operations,Cheque,INV-90045,Pending
EXP-50046,Travel,2025-02-14,16768,CUST-10047,Melissa Kline,"Parks, Clark and Schultz",Operations,Cheque,INV-90046,Pending
EXP-50047,Office Supplies,2025-06-24,8506,CUST-10801,Jason Carlson,Miller PLC,Operations,PayPal,INV-90047,Approved
EXP-50048,Marketing,2025-04-05,12855,CUST-10230,Jared Strickland,Roberts-Chase,Sales,Direct Debit,INV-90048,Approved
EXP-50049,Office Supplies,2025-04-15,4701,CUST-10528,James Delacruz,Johnson and Sons,IT,Cheque,INV-90049,Approved
EXP-50050,Marketing,2025-04-05,17322,CUST-10739,Joseph Dickerson,Flores-Townsend,Marketing,Direct Debit,INV-90050,Approved
EXP-50051,Office Supplies,2025-07-17,563,CUST-10908,Michael Johnson,Welch LLC,Marketing,Direct Debit,INV-90051,Pending
EXP-50052,Software Subscription,2025-08-08,9194,CUST-10431,Taylor Holmes,Carr-Alvarado,Marketing,Credit Card,INV-90052,Approved
EXP-50053,Travel,2025-04-11,8570,CUST-10725,Victor Eaton,Hale LLC,Operations,Cheque,INV-90053,Pending
EXP-50054,Event Sponsorship,2025-01-12,14063,CUST-10736,April Torres,Odonnell-Hill,Marketing,Cheque,INV-90054,Rejected
EXP-50055,Software Subscription,2025-01-14,12849,CUST-10628,James Williams,"Shepherd, Martinez and Hernandez",Sales,Direct Debit,INV-90055,Rejected
EXP-50056,Office Supplies,2025-08-03,13123,CUST-10247,Sheri Hicks,Taylor Group,Finance,Credit Card,INV-90056,Pending
EXP-50057,Marketing,2025-04-12,2644,CUST-10936,Christina Adams,Ware-Walker,Marketing,Credit Card,INV-90057,Pending
EXP-50058,Event Sponsorship,2025-06-30,12941,CUST-10560,Sarah Owens,"Johnson, Holt and Williamson",Marketing,Bank Transfer,INV-90058,Approved
