Opportunity ID,Sales Rep ID,Sales Rep Name,Region,Country,Contact Name,Customer Name,Cust ID,Opp Initiation Date,Opp Close Date,Opportunity Status,Opportunity Stage
OPP-60001,SR-2046,Wendy Campbell,Middle East,Brazil,Jimmy Maldonado,"Gutierrez, Myers and Davis",CUST-10335,2025-04-13,2025-08-16,Negotiation,Closed Won
OPP-60002,SR-2078,Michael Phillips,Latin America,UK,Mr. Michael Foster DDS,"Brooks, Ho and Carr",CUST-10648,2025-04-01,2025-01-16,Lost,Proposal
OPP-60003,SR-2069,James Castillo,Middle East,Brazil,Marilyn Peterson,Jackson-Sherman,CUST-10637,2025-07-23,2025-05-18,Won,Negotiation
OPP-60004,SR-2071,Jack Rios,Asia-Pacific,Brazil,Debra Sanders,"Wright, Russell and Miller",CUST-10672,2025-02-09,2025-03-01,Won,Closed Won
OPP-60005,SR-2043,Roy Jones,Europe,Brazil,Adam Mendoza,Bryant-Wang,CUST-10919,2025-01-20,2025-04-16,Open,Closed Won
OPP-60006,SR-2041,David Schaefer,Europe,UAE,Kristi Ramirez,Anderson-Gonzales,CUST-10081,2025-04-17,2025-02-03,Open,Qualification
OPP-60007,SR-2033,David Garcia,Middle East,UK,Christine Morgan,Page-Warner,CUST-10351,2025-06-22,2025-04-25,Negotiation,Closed Won
OPP-60008,SR-2009,Dean Nelson,North America,Brazil,Rachel Stanton,Hayes LLC,CUST-10250,2025-03-29,2025-07-09,Won,Proposal
OPP-60009,SR-2061,James Lopez,North America,Australia,Susan Horne,Lane-Garner,CUST-10223,2025-06-06,2025-08-30,Open,Negotiation
OPP-60010,SR-2051,Nathaniel Rodgers,Europe,UK,Debbie Brady,Thompson and Sons,CUST-10259,2025-04-29,2025-04-06,On Hold,Qualification
OPP-60011,SR-2019,Maria White,North America,Brazil,Ricardo Anderson,Hicks PLC,CUST-10711,2025-05-27,2025-01-28,Negotiation,Prospecting
OPP-60012,SR-2085,Kara Rios,Asia-Pacific,India,Richard Mcdaniel,Scott LLC,CUST-10803,2025-03-08,2025-06-19,Lost,Prospecting
OPP-60013,SR-2030,Mark Mcbride,Middle East,India,Katelyn Farrell,"Thomas, Mcdonald and Miller",CUST-10347,2025-04-10,2025-01-14,Open,Negotiation
OPP-60014,SR-2013,Joseph Gomez,Europe,Germany,Rhonda Smith,Griffin-Neal,CUST-10267,2025-08-05,2025-04-22,On Hold,Closed Won
OPP-60015,SR-2060,Kiara Brown,Europe,USA,Summer Calhoun,Smith-Grant,CUST-10147,2025-02-03,2025-01-18,Negotiation,Prospecting
OPP-60016,SR-2011,Mary Mason,North America,Brazil,Christopher Davis,"Garcia, Mcmillan and Chaney",CUST-10952,2025-02-19,2025-06-25,Won,Prospecting
OPP-60017,SR-2071,Joseph Duffy,Middle East,UAE,Brittany Crawford,Ward-Riley,CUST-10567,2025-02-11,2025-01-28,On Hold,Prospecting
OPP-60018,SR-2014,Bradley Adams,North America,Brazil,Sara Scott,Welch LLC,CUST-10661,2025-06-06,2025-06-21,Open,Closed Won
OPP-60019,SR-2098,Mariah Hernandez,Asia-Pacific,Germany,Monica Martinez,"Rivera, Mclaughlin and Wilson",CUST-10903,2025-03-15,2025-06-02,Won,Proposal
OPP-60020,SR-2076,Jennifer Roberts,Middle East,USA,Antonio Rice,"Scott, Perez and Cohen",CUST-10174,2025-08-14,2025-05-09,On Hold,Negotiation
OPP-60021,SR-2011,Carlos Williams,Asia-Pacific,Australia,Edwin Blackwell,Bryant Inc,CUST-10285,2025-01-01,2025-07-03,Lost,Prospecting
OPP-60022,SR-2003,Christine Gay,Latin America,Brazil,Melissa Malone,James Group,CUST-10893,2025-05-01,2025-05-28,Won,Negotiation
OPP-60023,SR-2040,Daniel Murphy,Asia-Pacific,Germany,Matthew Jackson,Salas-Bennett,CUST-10955,2025-07-08,2025-06-12,Lost,Negotiation
OPP-60024,SR-2056,Tabitha Garcia,North America,UAE,Karen Wilcox,Benson Ltd,CUST-10761,2025-08-21,2025-07-26,Open,Qualification
OPP-60025,SR-2077,Felicia Tate,Asia-Pacific,Germany,Erin Sherman,"Bowman, Davis and Cox",CUST-10818,2025-05-04,2025-05-01,Won,Qualification
OPP-60026,SR-2092,Richard Guzman,Europe,Germany,Nicolas Ortiz,Weaver PLC,CUST-10572,2025-02-16,2025-03-27,On Hold,Prospecting
OPP-60027,SR-2042,John Carter,Middle East,Brazil,Parker Tucker,"Duarte, Reese and Gonzalez",CUST-10611,2025-08-09,2025-06-11,Won,Proposal
OPP-60028,SR-2067,Sarah Smith,North America,Brazil,Nicole Torres,Stokes-Roberts,CUST-10955,2025-03-31,2025-08-02,On Hold,Closed Won
OPP-60029,SR-2053,Matthew Robinson,Asia-Pacific,Australia,Tammy Lewis,Davis-Doyle,CUST-10837,2025-07-29,2025-06-11,On Hold,Qualification
OPP-60030,SR-2098,Rachel Escobar,Latin America,UK,Toni Bradley,Garrett-Harrell,CUST-10802,2025-02-07,2025-05-08,Negotiation,Prospecting
OPP-60031,SR-2088,Rebecca Taylor,Latin America,UK,Angela Newman,Anderson Inc,CUST-10313,2025-02-15,2025-05-04,Won,Closed Won
OPP-60032,SR-2099,Amber Bass,Europe,UAE,Danny Torres,Williams-Wolf,CUST-10085,2025-06-23,2025-02-03,Lost,Prospecting
OPP-60033,SR-2043,Donna Nelson,Asia-Pacific,UAE,Kathryn Johnson,"Hill, Brown and Jackson",CUST-10252,2025-06-14,2025-02-25,Won,Negotiation
OPP-60034,SR-2033,Anthony Brooks,Asia-Pacific,USA,David Lee,Walker-Shea,CUST-10107,2025-02-08,2025-04-13,Won,Qualification
OPP-60035,SR-2074,David Patterson,Europe,UAE,Melanie Dennis,Heath-Hurst,CUST-10288,2025-02-14,2025-04-15,Lost,Closed Won
OPP-60036,SR-2073,Angela Reid,Asia-Pacific,UAE,John Singleton,"Nelson, Young and Dyer",CUST-10602,2025-04-10,2025-03-10,Open,Negotiation
OPP-60037,SR-2032,Jason Fleming,Middle East,UK,Kelsey Mendez,"Moore, Lopez and Gomez",CUST-10889,2025-06-11,2025-01-04,Negotiation,Negotiation
OPP-60038,SR-2002,Sherry Kent,Latin America,Germany,Linda Thomas,Mccoy Inc,CUST-10882,2025-03-21,2025-05-21,On Hold,Prospecting
OPP-60039,SR-2024,Chelsea Harper,North America,Brazil,Donna Marquez,Roberts PLC,CUST-10152,2025-01-30,2025-07-29,On Hold,Negotiation
OPP-60040,SR-2096,Leroy Alexander,Europe,UK,Dr. Philip Crawford,Moreno and Sons,CUST-10391,2025-06-22,2025-03-08,Lost,Closed Won
OPP-60041,SR-2009,Kristine Huang,North America,UK,Michelle White,Simpson Group,CUST-10237,2025-02-17,2025-08-28,Negotiation,Prospecting
OPP-60042,SR-2046,Eric Jones,Europe,India,Christopher Lamb,"Ramos, Young and Olson",CUST-10310,2025-01-15,2025-06-13,On Hold,Closed Won
OPP-60043,SR-2082,Joshua Mason,North America,UAE,Jessica Little,Anderson-Gonzales,CUST-10727,2025-05-28,2025-07-17,On Hold,Closed Won
OPP-60044,SR-2086,Blake Wheeler,Europe,Brazil,Omar Bryant,Solis Inc,CUST-10039,2025-05-26,2025-08-23,Won,Prospecting
OPP-60045,SR-2046,Lance Koch,Middle East,USA,Mary Santos,Perez LLC,CUST-10864,2025-02-10,2025-07-05,Won,Qualification
OPP-60046,SR-2086,Joshua Daniels,Asia-Pacific,UAE,Paul Gibson,Chen-Stanton,CUST-10204,2025-03-04,2025-03-15,Lost,Qualification
OPP-60047,SR-2041,Jennifer Smith,North America,Germany,John Faulkner,Odonnell-Hill,CUST-10768,2025-06-12,2025-08-24,Lost,Closed Won
OPP-60048,SR-2087,Katie Brown,Asia-Pacific,Germany,Jackson Boyd,Allen-Miller,CUST-10192,2025-04-05,2025-02-05,Lost,Qualification
OPP-60049,SR-2063,Christine Hernandez,Europe,UK,Melissa Olson,Booker-Herrera,CUST-10277,2025-08-01,2025-01-07,On Hold,Qualification
OPP-60050,SR-2042,Kenneth Grimes,North America,Australia,John Martin,Brown-Lowe,CUST-10695,2025-02-23,2025-05-05,Negotiation,Prospecting
OPP-60051,SR-2056,Michael Woods,Latin America,India,Patrick Walker,Cantrell-Martinez,CUST-10056,2025-04-23,2025-05-29,On Hold,Qualification
OPP-60052,SR-2091,Mark Caldwell,Europe,UK,Alexandra Watson,"Hill, Beck and Garcia",CUST-10209,2025-08-23,2025-06-15,Lost,Qualification
OPP-60053,SR-2040,Lisa Patel,Latin America,Australia,Susan Moore,"Gilmore, Johnson and Walker",CUST-10004,2025-07-24,2025-02-08,On Hold,Prospecting
OPP-60054,SR-2008,Kari Mcclure,Europe,Germany,Diane Le,Mcdaniel Inc,CUST-10885,2025-01-11,2025-05-08,Open,Closed Won
OPP-60055,SR-2009,David Case,North America,UK,Laura Gomez,Simpson-Ray,CUST-10461,2025-01-24,2025-04-22,Won,Closed Won
OPP-60056,SR-2049,Lauren Baird,Europe,India,Samantha Gill,Smith Group,CUST-10436,2025-04-21,2025-05-30,Won,Prospecting
OPP-60057,SR-2046,Isabella Brown,Middle East,USA,Debra Hartman,Reid-Bowman,CUST-10852,2025-06-17,2025-08-10,Lost,Closed Won
OPP-60058,SR-2016,Chad Christian,Europe,Germany,Tina Brock,"Nichols, Chapman and Smith",CUST-10303,2025-01-26,2025-06-12,Won,Prospecting
OPP-60059,SR-2005,Matthew Burns,Latin America,UK,Christopher Zimmerman,Moore PLC,CUST-10240,2025-08-10,2025-06-03,Lost,Qualification
OPP-60060,SR-2010,Timothy Young,Europe,Australia,Jill Murphy,Santiago-Vasquez,CUST-10522,2025-08-18,2025-06-30,Lost,Qualification
OPP-60061,SR-2007,Tyler Donaldson,Latin America,Australia,Kimberly Leblanc,Mccoy Inc,CUST-10170,2025-08-26,2025-06-17,Open,Proposal
OPP-60062,SR-2032,Beth Chapman,North America,UAE,Julia Sanchez,Lambert Inc,CUST-10915,2025-02-03,2025-02-08,Won,Proposal
OPP-60063,SR-2031,Tammy Briggs,North America,Germany,Barbara Palmer,King-Buchanan,CUST-10448,2025-08-08,2025-05-14,Open,Proposal
OPP-60064,SR-2059,Michael Robinson,Middle East,Brazil,Patrick Walker,Martinez-Hart,CUST-10549,2025-07-17,2025-04-10,Open,Prospecting
OPP-60065,SR-2001,Larry Gill,North America,USA,Ronald Chavez,Henderson PLC,CUST-10232,2025-08-27,2025-06-27,Won,Proposal
OPP-60066,SR-2082,Carolyn Davis,Latin America,Australia,Mandy Ayala,Cooper Group,CUST-10120,2025-06-20,2025-06-04,On Hold,Proposal
OPP-60067,SR-2080,Crystal Ortiz,Latin America,UAE,Sarah Cook,Taylor Group,CUST-10624,2025-04-12,2025-08-10,On Hold,Prospecting
OPP-60068,SR-2053,Sydney Johnson,Middle East,Australia,Tracie Garcia,"Morris, Curtis and Turner",CUST-10989,2025-06-04,2025-02-06,Open,Qualification
OPP-60069,SR-2077,David Davis,Middle East,Brazil,Michael Davis,Mcguire and Sons,CUST-10214,2025-08-15,2025-07-18,On Hold,Proposal
OPP-60070,SR-2054,Ashley Shepherd,Europe,Germany,Mark Hall,Butler-Stewart,CUST-10223,2025-03-08,2025-01-25,Won,Closed Won
OPP-60071,SR-2092,Jeremy May,Asia-Pacific,UAE,Vickie Smith,Dorsey-Edwards,CUST-10094,2025-05-21,2025-03-24,Open,Prospecting
OPP-60072,SR-2071,Sarah Huffman,Latin America,UAE,George Evans,Smith and Sons,CUST-10175,2025-05-28,2025-05-16,Open,Negotiation
OPP-60073,SR-2079,Amy Hughes,North America,USA,Christine Wilkins,Mccoy Inc,CUST-10403,2025-01-30,2025-01-01,Open,Negotiation
OPP-60074,SR-2095,Megan Bradley,Latin America,India,Judith Curry,Torres Inc,CUST-10902,2025-01-14,2025-02-14,Open,Prospecting
OPP-60075,SR-2025,Maureen Coleman,Asia-Pacific,UK,Sarah Decker,Brennan-Brown,CUST-10180,2025-07-15,2025-08-19,Lost,Qualification
OPP-60076,SR-2060,Walter Hays,Europe,Australia,John Esparza,Roman LLC,CUST-10909,2025-05-25,2025-03-22,Negotiation,Qualification
OPP-60077,SR-2049,Brandon White,Latin America,UK,Allison Young,"Green, Hudson and Lara",CUST-10060,2025-04-01,2025-08-09,On Hold,Qualification
OPP-60078,SR-2024,Timothy Holmes,Latin America,India,Jaime Rangel,Blake and Sons,CUST-10538,2025-08-11,2025-04-26,On Hold,Prospecting
OPP-60079,SR-2040,Kenneth Walter,Middle East,UAE,Samantha Johnson,Rogers-Cervantes,CUST-10770,2025-04-27,2025-03-04,Lost,Qualification
