Customer Session ID,Contact Name,Website Section,Content_Click,Demo Request,Enquiry Submission Flag,Session Login Time,Session Log Out Time,Cmgn ID
SES-91001,James Gonzalez,Product Page,Blog Post,Yes,No,2025-01-06 04:00:00,2025-04-05 01:45:00,CMP-20610
SES-91002,Kristen Woods,Home,Whitepaper,Yes,Yes,2025-06-09 00:30:00,2025-04-23 12:15:00,CMP-20592
SES-91003,Brooke Graves,Product Page,Blog Post,No,No,2025-06-21 03:45:00,2025-05-13 18:15:00,CMP-20291
SES-91004,John Williams,Blog,Whitepaper,Yes,Yes,2025-01-05 11:30:00,2025-01-17 03:45:00,CMP-20038
SES-91005,Shawn Jones,Pricing,Blog Post,Yes,No,2025-07-08 15:15:00,2025-06-07 11:15:00,CMP-20963
SES-91006,James Fry,Blog,Blog Post,No,Yes,2025-02-16 18:45:00,2025-03-11 05:30:00,CMP-20036
SES-91007,Erika Baird,Home,Datasheet,No,Yes,2025-08-15 02:45:00,2025-05-11 17:00:00,CMP-20692
SES-91008,Steven Baker MD,Blog,Whitepaper,Yes,No,2025-03-05 10:45:00,2025-08-04 07:30:00,CMP-20727
SES-91009,Kerry Collins,Product Page,Video Demo,Yes,No,2025-05-06 22:45:00,2025-01-09 09:45:00,CMP-20455
SES-91010,Brandon Simmons,Product Page,Blog Post,Yes,Yes,2025-08-20 21:00:00,2025-07-06 13:00:00,CMP-20017
SES-91011,James Thompson,Home,Datasheet,No,Yes,2025-07-06 16:00:00,2025-07-21 11:45:00,CMP-20206
SES-91012,Peter Harris,Home,Blog Post,No,No,2025-02-28 06:00:00,2025-03-14 12:15:00,CMP-20850
SES-91013,Eric Carter,Home,Video Demo,No,No,2025-07-05 15:30:00,2025-07-15 01:00:00,CMP-20068
SES-91014,Ashley Rowe,Blog,Video Demo,Yes,No,2025-07-01 15:30:00,2025-03-10 21:15:00,CMP-20633
SES-91015,Kimberly Brown MD,Pricing,Video Demo,Yes,Yes,2025-01-27 15:15:00,2025-05-25 12:30:00,CMP-20023
SES-91016,Fred Dillon,Support,Blog Post,No,Yes,2025-04-19 17:30:00,2025-06-23 01:00:00,CMP-20391
SES-91017,Deborah Garza,Product Page,Case Study,Yes,Yes,2025-02-10 08:30:00,2025-04-08 12:15:00,CMP-20192
SES-91018,Steven Munoz,Pricing,Video Demo,No,Yes,2025-04-19 19:45:00,2025-05-31 21:00:00,CMP-20733
SES-91019,Tammy Wilkerson,Product Page,Whitepaper,No,No,2025-05-18 19:00:00,2025-05-31 00:15:00,CMP-20691
SES-91020,Michael Wilson,Pricing,Whitepaper,No,No,2025-07-17 07:30:00,2025-06-15 14:30:00,CMP-20148
SES-91021,Mariah Johnson,Pricing,Blog Post,No,No,2025-02-11 09:45:00,2025-08-22 23:00:00,CMP-20830
SES-91022,Mark Camacho,Blog,Datasheet,No,No,2025-01-09 18:45:00,2025-03-11 13:15:00,CMP-20855
SES-91023,Alice Spencer,Pricing,Case Study,No,Yes,2025-07-07 07:15:00,2025-06-06 00:00:00,CMP-20287
SES-91024,Kathleen Meyer,Product Page,Blog Post,No,Yes,2025-08-27 13:00:00,2025-05-21 19:15:00,CMP-20919
SES-91025,Caleb King,Pricing,Datasheet,Yes,Yes,2025-06-25 06:45:00,2025-08-04 12:00:00,CMP-20551
SES-91026,Travis Bailey,Home,Video Demo,Yes,No,2025-05-13 03:00:00,2025-06-19 16:45:00,CMP-20718
SES-91027,Charles Sanchez,Blog,Datasheet,No,No,2025-06-09 05:45:00,2025-06-25 09:00:00,CMP-20065
SES-91028,David Rios,Home,Blog Post,No,Yes,2025-06-20 23:00:00,2025-04-05 02:15:00,CMP-20552
SES-91029,Lynn Gibson,Home,Video Demo,No,No,2025-02-26 06:45:00,2025-06-18 23:15:00,CMP-20278
SES-91030,Kristen Levine,Home,Datasheet,Yes,Yes,2025-08-12 12:00:00,2025-08-14 09:00:00,CMP-20756
SES-91031,Jason Mccormick,Blog,Blog Post,No,No,2025-07-06 18:00:00,2025-03-04 13:15:00,CMP-20824
SES-91032,Elizabeth Santiago,Product Page,Datasheet,Yes,Yes,2025-01-09 01:15:00,2025-02-24 20:00:00,CMP-20757
SES-91033,Briana Dunn,Home,Case Study,Yes,No,2025-03-04 10:15:00,2025-06-26 04:00:00,CMP-20269
SES-91034,Elizabeth Chaney,Support,Datasheet,No,No,2025-05-04 02:30:00,2025-08-18 00:00:00,CMP-20325
SES-91035,Michelle Rivera,Support,Video Demo,No,No,2025-01-12 13:30:00,2025-03-17 12:45:00,CMP-20052
SES-91036,Dr. Thomas Landry DDS,Support,Blog Post,Yes,Yes,2025-08-17 14:15:00,2025-02-23 06:00:00,CMP-20016
SES-91037,Karla Young,Product Page,Video Demo,Yes,Yes,2025-08-14 21:00:00,2025-04-02 02:15:00,CMP-20908
SES-91038,Jessica Palmer,Blog,Case Study,Yes,Yes,2025-05-11 01:00:00,2025-01-18 11:30:00,CMP-20157
SES-91039,Abigail Wilson,Pricing,Whitepaper,No,No,2025-02-20 15:15:00,2025-05-02 08:45:00,CMP-20116
SES-91040,Katelyn Stein,Blog,Whitepaper,Yes,Yes,2025-03-13 02:00:00,2025-07-30 05:45:00,CMP-20101
SES-91041,Amy Perkins,Blog,Case Study,No,No,2025-02-18 09:30:00,2025-03-13 13:45:00,CMP-20294
SES-91042,Austin Frye,Support,Video Demo,Yes,Yes,2025-04-29 21:30:00,2025-02-26 23:30:00,CMP-20228
SES-91043,Dennis Taylor,Support,Whitepaper,No,Yes,2025-04-05 15:30:00,2025-04-08 05:00:00,CMP-20334
SES-91044,Nicole Wu,Blog,Blog Post,Yes,Yes,2025-03-12 19:00:00,2025-03-05 14:45:00,CMP-20459
SES-91045,Crystal Morris,Pricing,Whitepaper,No,No,2025-01-23 19:15:00,2025-04-02 08:15:00,CMP-20465
SES-91046,Michelle Robinson,Blog,Case Study,Yes,Yes,2025-05-08 05:00:00,2025-01-06 15:30:00,CMP-20007
SES-91047,Denise Bush,Pricing,Whitepaper,No,Yes,2025-08-18 15:15:00,2025-02-15 02:30:00,CMP-20022
SES-91048,Kathleen Colon,Pricing,Datasheet,Yes,No,2025-07-02 04:00:00,2025-05-28 23:15:00,CMP-20860
SES-91049,Kelsey Wang,Product Page,Datasheet,Yes,Yes,2025-04-06 17:15:00,2025-02-24 04:45:00,CMP-20747
SES-91050,Craig Anderson,Home,Datasheet,Yes,Yes,2025-05-25 21:30:00,2025-06-09 09:00:00,CMP-20086
SES-91051,Katelyn Price,Support,Whitepaper,Yes,Yes,2025-07-09 01:45:00,2025-01-08 00:00:00,CMP-20094
SES-91052,Matthew Santos,Pricing,Video Demo,No,No,2025-07-05 19:00:00,2025-02-21 09:30:00,CMP-20883
SES-91053,Pamela Liu,Pricing,Blog Post,No,Yes,2025-03-22 15:30:00,2025-07-26 15:15:00,CMP-20108
SES-91054,Frederick Roberts,Pricing,Whitepaper,Yes,Yes,2025-04-01 07:00:00,2025-03-05 16:30:00,CMP-20850
SES-91055,Sherri Nguyen,Pricing,Case Study,Yes,Yes,2025-07-05 23:00:00,2025-02-23 10:30:00,CMP-20010
SES-91056,Sara Rojas,Support,Datasheet,No,Yes,2025-03-22 04:45:00,2025-04-29 14:15:00,CMP-20026
SES-91057,Victor Mejia,Product Page,Datasheet,No,Yes,2025-05-29 16:45:00,2025-06-17 13:30:00,CMP-20864
SES-91058,Matthew Castaneda,Pricing,Video Demo,Yes,No,2025-02-04 16:00:00,2025-03-25 22:30:00,CMP-20660
SES-91059,Julie Gonzalez,Product Page,Blog Post,No,No,2025-04-06 06:30:00,2025-03-04 17:15:00,CMP-20925
SES-91060,Jonathan Nolan,Blog,Video Demo,Yes,No,2025-03-07 03:45:00,2025-06-17 01:30:00,CMP-20549
SES-91061,Dawn Miller,Support,Whitepaper,No,No,2025-02-01 14:45:00,2025-03-17 23:15:00,CMP-20194
SES-91062,Victor Robertson,Home,Datasheet,No,No,2025-07-18 23:00:00,2025-04-05 17:45:00,CMP-20668
SES-91063,William Robertson,Pricing,Blog Post,No,Yes,2025-03-08 01:00:00,2025-04-06 01:45:00,CMP-20637
SES-91064,John Clark,Blog,Whitepaper,No,No,2025-08-01 21:15:00,2025-07-05 05:45:00,CMP-20681
SES-91065,Lawrence Gonzales MD,Product Page,Blog Post,Yes,No,2025-04-14 00:00:00,2025-01-29 07:45:00,CMP-20449
SES-91066,Natalie Glass,Support,Datasheet,No,No,2025-08-09 02:00:00,2025-05-15 09:00:00,CMP-20955
SES-91067,Kristi Thompson,Home,Blog Post,Yes,Yes,2025-06-20 09:45:00,2025-07-01 03:15:00,CMP-20134
SES-91068,Connie Rose,Product Page,Blog Post,Yes,Yes,2025-03-18 09:15:00,2025-07-11 22:15:00,CMP-20685
SES-91069,Mark Howard,Support,Whitepaper,No,Yes,2025-07-10 10:30:00,2025-04-01 10:15:00,CMP-20153
SES-91070,Raymond Anderson,Support,Whitepaper,No,Yes,2025-05-25 09:15:00,2025-06-20 20:45:00,CMP-20298
SES-91071,Ronald Ingram,Home,Blog Post,Yes,No,2025-06-12 02:30:00,2025-07-04 03:30:00,CMP-20312
SES-91072,Yolanda King,Product Page,Blog Post,Yes,Yes,2025-01-07 22:30:00,2025-05-13 19:30:00,CMP-20755
SES-91073,David Lambert,Home,Datasheet,No,No,2025-02-25 18:00:00,2025-02-13 20:45:00,CMP-20063
SES-91074,William Price,Product Page,Video Demo,Yes,Yes,2025-06-07 11:45:00,2025-04-29 12:30:00,CMP-20041
SES-91075,Tyler Curtis,Home,Whitepaper,Yes,Yes,2025-08-01 20:30:00,2025-02-25 03:00:00,CMP-20700
SES-91076,Alexis Robbins,Pricing,Blog Post,Yes,No,2025-07-15 19:30:00,2025-05-01 08:30:00,CMP-20362
SES-91077,Bradley Peterson,Support,Video Demo,No,Yes,2025-02-20 01:00:00,2025-02-24 11:30:00,CMP-20967
SES-91078,Lisa Duffy,Product Page,Case Study,No,No,2025-06-19 18:00:00,2025-04-11 18:45:00,CMP-20984
